Team 1,FT,Team 2
SC Paderborn 07 (2),1-2,1. FC Köln (1)
Werder Bremen (1),1-4,Bayer 04 Leverkusen (10)
Fortuna Düsseldorf (10),0-0,SC Paderborn 07 (2)
1. FC Köln (1),2-2,1. FSV Mainz 05 (11)
Borussia Dortmund (1),4-0,FC Schalke 04 (1)
Eintracht Frankfurt (11),1-3,Bor. Mönchengladbach (1)
1. FC Union Berlin (1),0-2,Bayern München (1)
FC Augsburg (1),1-2,VfL Wolfsburg (1)
TSG 1899 Hoffenheim (1),0-3,Hertha BSC (11)
RB Leipzig (1),1-1,SC Freiburg (1)
FC Schalke 04 (1),0-3,FC Augsburg (1)
SC Freiburg (1),0-1,Werder Bremen (1)
Bayern München (1),5-2,Eintracht Frankfurt (11)
Bor. Mönchengladbach (1),1-3,Bayer 04 Leverkusen (10)
1. FC Köln (1),2-2,Fortuna Düsseldorf (10)
VfL Wolfsburg (1),0-2,Borussia Dortmund (1)
Hertha BSC (11),4-0,1. FC Union Berlin (1)
1. FSV Mainz 05 (11),0-5,RB Leipzig (1)
SC Paderborn 07 (2),1-1,TSG 1899 Hoffenheim (1)
Werder Bremen (1),1-1,Bor. Mönchengladbach (1)
Bayer 04 Leverkusen (10),2-1,VfL Wolfsburg (1)
Fortuna Düsseldorf (10),2-1,FC Schalke 04 (1)
Borussia Dortmund (1),1-1,Bayern München (1)
Eintracht Frankfurt (11),2-1,SC Freiburg (1)
1. FC Union Berlin (1),2-1,1. FSV Mainz 05 (11)
FC Augsburg (1),2-1,SC Paderborn 07 (2)
TSG 1899 Hoffenheim (1),2-1,1. FC Köln (1)
RB Leipzig (1),2-1,Hertha BSC (11)
FC Schalke 04 (1),0-0,Werder Bremen (1)
SC Freiburg (1),0-0,Bayer 04 Leverkusen (10)
Bayern München (1),0-0,Fortuna Düsseldorf (10)
Bor. Mönchengladbach (1),0-0,1. FC Union Berlin (1)
1. FC Köln (1),0-0,RB Leipzig (1)
VfL Wolfsburg (1),0-0,Eintracht Frankfurt (11)
Hertha BSC (11),0-0,FC Augsburg (1)
1. FSV Mainz 05 (11),0-0,TSG 1899 Hoffenheim (1)
SC Paderborn 07 (2),0-0,Borussia Dortmund (1)
Werder Bremen (1),0-0,VfL Wolfsburg (1)
SC Freiburg (1),0-0,Bor. Mönchengladbach (1)
Bayer 04 Leverkusen (10),0-0,Bayern München (1)
Fortuna Düsseldorf (10),0-0,TSG 1899 Hoffenheim (1)
Borussia Dortmund (1),0-0,Hertha BSC (11)
Eintracht Frankfurt (11),0-0,1. FSV Mainz 05 (11)
1. FC Union Berlin (1),0-0,FC Schalke 04 (1)
FC Augsburg (1),0-0,1. FC Köln (1)
RB Leipzig (1),0-0,SC Paderborn 07 (2)
FC Schalke 04 (1),0-0,Bayer 04 Leverkusen (10)
Fortuna Düsseldorf (10),0-0,Borussia Dortmund (1)
Bayern München (1),0-0,Bor. Mönchengladbach (1)
1. FC Köln (1),0-0,1. FC Union Berlin (1)
VfL Wolfsburg (1),0-0,SC Freiburg (1)
Hertha BSC (11),0-0,Eintracht Frankfurt (11)
1. FSV Mainz 05 (11),0-0,FC Augsburg (1)
SC Paderborn 07 (2),0-0,Werder Bremen (1)
TSG 1899 Hoffenheim (1),0-0,RB Leipzig (1)
Werder Bremen (1),0-0,Bayern München (1)
SC Freiburg (1),0-0,Hertha BSC (11)
Bayer 04 Leverkusen (10),0-0,1. FC Köln (1)
Bor. Mönchengladbach (1),0-0,VfL Wolfsburg (1)
Borussia Dortmund (1),0-0,1. FSV Mainz 05 (11)
Eintracht Frankfurt (11),0-0,FC Schalke 04 (1)
1. FC Union Berlin (1),0-0,SC Paderborn 07 (2)
FC Augsburg (1),0-0,TSG 1899 Hoffenheim (1)
RB Leipzig (1),0-0,Fortuna Düsseldorf (10)
FC Schalke 04 (1),0-0,VfL Wolfsburg (1)
Fortuna Düsseldorf (10),0-0,FC Augsburg (1)
Bayern München (1),0-0,SC Freiburg (1)
1. FC Köln (1),0-0,Eintracht Frankfurt (11)
Hertha BSC (11),0-0,Bayer 04 Leverkusen (10)
1. FSV Mainz 05 (11),0-0,Werder Bremen (1)
SC Paderborn 07 (2),0-0,Bor. Mönchengladbach (1)
TSG 1899 Hoffenheim (1),0-0,1. FC Union Berlin (1)
RB Leipzig (1),0-0,Borussia Dortmund (1)
Werder Bremen (1),0-0,1. FC Köln (1)
SC Freiburg (1),0-0,FC Schalke 04 (1)
Bayer 04 Leverkusen (10),0-0,1. FSV Mainz 05 (11)
Bor. Mönchengladbach (1),0-0,Hertha BSC (11)
Borussia Dortmund (1),0-0,TSG 1899 Hoffenheim (1)
VfL Wolfsburg (1),0-0,Bayern München (1)
Eintracht Frankfurt (11),0-0,SC Paderborn 07 (2)
1. FC Union Berlin (1),0-0,Fortuna Düsseldorf (10)
FC Augsburg (1),0-0,RB Leipzig (1)
